symbol,close,sma50,sma150,sma200,prior_65d_high_close,volume,vol50,sma200_slope20,extended_pct_vs_50sma,pivot_distance_pct
SRE,94.77999877929688,88.52080017089844,87.1029335530599,84.2901501083374,94.72000122070312,6225100.0,3938208.0,0.08739425177322988,7.070878930504931,0.06334201628013236
GPAT,10.760000228881836,10.704599914550782,10.640299968719482,10.606569957733154,10.75,17665.0,7039.3,0.002057724321694901,0.5175374584130754,0.0930253849473095
CCO,2.390000104904175,2.120599989891052,1.6872666629155477,1.5494499975442886,2.380000114440918,8974100.0,4089780.0,0.005917105338627199,12.703957195952054,0.4201676463198689
AZN,205.6999053955078,185.18999816894532,168.8092660522461,162.04829971313475,204.75999450683597,1983611.0,551462.22,0.25969571404707914,11.075062060237006,0.4590305303219022
IDE,14.050000190734863,12.707199954986573,12.278999996185302,12.031699976921082,13.949999809265137,94700.0,58934.0,0.017399097718690446,10.567239364336501,0.7168486224875092
NSSC,44.150001525878906,41.38180000305176,39.30926666259766,36.49325000762939,43.810001373291016,1013600.0,426968.0,0.09632665425494197,6.689417866363967,0.7760788448529343
PEBK,39.220001220703125,36.59279998779297,32.392866668701174,31.466200037002565,38.86000061035156,30700.0,16410.0,0.054542631156463066,7.1795578195343435,0.9264040264983064
DNP,10.4399995803833,10.052000007629395,9.988866678873698,9.919650015830994,10.329999923706055,1032600.0,636386.0,0.003886090167482997,3.8599241191744627,1.0648563164536995
CZNC,23.8799991607666,21.52480007171631,20.222866668701172,19.934049978256226,23.6200008392334,88600.0,62582.0,0.018839362459971275,10.941793100067088,1.1007549208098988
NIC,155.19000244140625,135.01580108642577,131.56546717325847,129.22575019836427,153.32000732421875,374500.0,154264.0,0.19877437081013918,14.942103955718977,1.2196680327787313
NGG,92.4000015258789,80.54080001831055,75.5878000386556,74.63625007629395,91.22000122070312,2841400.0,751388.0,0.08147586319141929,14.724464501063107,1.2935762874205725
DPG,14.5600004196167,13.102200012207032,12.908800017038981,12.747700014114379,14.369999885559082,192000.0,89628.0,0.009480263534344764,11.126378822270055,1.3222027527540536
AMX,24.020000457763672,21.114800033569335,20.76119997660319,19.900749940872192,23.57999992370605,4990915.0,2320838.3,0.031325865853101265,13.759071454977123,1.8659903964429958
DHC,6.550000190734863,5.40440001487732,4.51733333269755,4.205500001907349,6.420000076293945,4133100.0,1471430.0,0.018757857427561118,21.197545938567043,2.0249238768851097
IDA,144.25999450683594,130.31620025634766,128.6933334350586,125.39140003204346,141.38999938964844,698300.0,459386.0,0.0859168836550597,10.699969937014098,2.0298430791263034
AKAM,105.7699966430664,90.8665998840332,82.32953297932943,81.45489967346191,103.26000213623048,8051322.0,2996518.44,0.10939680653048368,16.40140247137385,2.4307519416128853
SHLS,70.08999633789062,56.41960014343262,52.457000147501624,49.70520021438599,68.25,379909.0,212754.18,0.13897627926589662,24.229870753611273,2.695965330242678
SHG,70.08999633789062,56.41960014343262,52.457000147501624,49.70520021438599,68.25,379909.0,212754.18,0.13897627926589662,24.229870753611273,2.695965330242678
SHMD,70.08999633789062,56.41960014343262,52.457000147501624,49.70520021438599,68.25,379909.0,212754.18,0.13897627926589662,24.229870753611273,2.695965330242678
ETR,105.06999969482422,94.73139999389649,92.82606694539388,90.21360023498535,101.95999908447266,6208300.0,2764242.0,0.072928009406065,10.91359327698509,3.0502163968979312
ENB,53.880001068115234,47.98680030822754,47.74433339436849,47.201449966430665,51.84000015258789,20310600.0,4664622.0,0.026020491449455473,12.280878745893965,3.935186939665747
EPD,37.209999084472656,32.951400184631346,31.960933380126953,31.800350008010863,35.45000076293945,9296000.0,4355048.0,0.018449434201519795,12.923878426955394,4.964734227518441
DBD,80.30000305175781,68.85519989013672,62.76126663208008,59.80249994277954,75.58999633789062,462900.0,253718.0,0.1454218743403147,16.621552446121825,6.230992118075052
ATNI,28.6200008392334,22.98119987487793,18.68753330230713,17.974349975585938,26.11000061035156,100437.0,52686.74,0.032309022788714316,24.536582054271094,9.61317568061153
