scan_date,symbol,entry_close
2026-02-12,ADAML,23.499900817871094
2026-02-12,ADM,69.30000305175781
2026-02-12,AGCO,138.47000122070312
2026-02-12,AGX,422.5
2026-02-12,AMX,23.57999992370605
2026-02-12,ANAB,55.25
2026-02-12,AZN,204.75999450683597
2026-02-12,BBDO,3.700000047683716
2026-02-12,BIP,39.18000030517578
2026-02-12,BKR,61.25
2026-02-12,CAT,775.0
2026-02-12,CCNE,29.850000381469727
2026-02-12,CCO,2.369999885559082
2026-02-12,CIG,2.289999961853028
2026-02-12,CMCO,23.270000457763672
2026-02-12,CNQ,40.630001068115234
2026-02-12,CPBI,17.729999542236328
2026-02-12,DAR,49.619998931884766
2026-02-12,DBD,72.36000061035156
2026-02-12,DCI,110.56999969482422
2026-02-12,DD,51.52999877929688
2026-02-12,DSX,2.440000057220459
2026-02-12,ELPC,10.979999542236328
2026-02-12,ENSG,211.9199981689453
2026-02-12,ESI,32.41999816894531
2026-02-12,FANG,169.00999450683594
2026-02-12,FERG,267.3599853515625
2026-02-12,FET,49.16999816894531
2026-02-12,FT,8.229999542236328
2026-02-12,FTI,61.81999969482422
2026-02-12,GASS,8.109999656677246
2026-02-12,GILD,155.8000030517578
2026-02-12,GLDD,16.950000762939453
2026-02-12,GLU,21.1200008392334
2026-02-12,GPJA,23.309999465942383
2026-02-12,GTX,20.799999237060547
2026-02-12,GVA,133.1699981689453
2026-02-12,GXO,63.34999847412109
2026-02-12,HAS,105.87999725341795
2026-02-12,HCA,531.469970703125
2026-02-12,HCSG,22.280000686645508
2026-02-12,HG,30.280000686645508
2026-02-12,HLT,325.1300048828125
2026-02-12,HSHP,11.789999961853027
2026-02-12,HTHT,53.20000076293945
2026-02-12,HWM,230.8500061035156
2026-02-12,IDE,13.890000343322754
2026-02-12,IESC,514.3599853515625
2026-02-12,IHD,7.159999847412109
2026-02-12,IQI,10.260000228881836
2026-02-12,ITUB,9.569999694824219
2026-02-12,JOF,12.109999656677246
2026-02-12,KB,111.77999877929688
2026-02-12,KF,48.584999084472656
2026-02-12,LUXE,9.949999809265137
2026-02-12,MCHP,80.75
2026-02-12,MGA,57.779998779296875
2026-02-12,MXF,22.700000762939453
2026-02-12,NATL,41.25
2026-02-12,NESR,21.38999938964844
2026-02-12,NG,11.770000457763672
2026-02-12,NGG,90.63999938964844
2026-02-12,NHI,88.25
2026-02-12,NPO,277.1700134277344
2026-02-12,NVS,160.05999755859375
2026-02-12,NXPI,249.75
2026-02-12,OBE,8.029999732971191
2026-02-12,OHI,46.77999877929688
2026-02-12,OSK,174.52000427246094
2026-02-12,PANL,9.010000228881836
2026-02-12,PBR,15.829999923706056
2026-02-12,PBR-A,14.760000228881836
2026-02-12,PCQ,9.170000076293945
2026-02-12,PDS,89.94000244140625
2026-02-12,PHIN,77.76000213623047
2026-02-12,PPIH,33.400001525878906
2026-02-12,PR,17.18000030517578
2026-02-12,QXO,27.059999465942383
2026-02-12,RAVE,3.4800000190734863
2026-02-12,RBC,550.530029296875
2026-02-12,RLGT,8.199999809265137
2026-02-12,RMT,12.010000228881836
2026-02-12,ROL,65.5999984741211
2026-02-12,SDRL,43.0099983215332
2026-02-12,SEB,5568.89013671875
2026-02-12,SHG,68.25
2026-02-12,SHIP,11.619999885559082
2026-02-12,SITE,163.25
2026-02-12,SSL,7.590000152587891
2026-02-12,ST,37.220001220703125
2026-02-12,STEL,39.709999084472656
2026-02-12,SUZ,11.18000030517578
2026-02-12,TEX,69.08000183105469
2026-02-12,THC,226.35000610351562
2026-02-12,TIMB,27.11000061035156
2026-02-12,TK,11.279999732971191
2026-02-12,TRP,60.91999816894531
2026-02-12,TSM,374.0899963378906
2026-02-12,TTE,77.72000122070312
2026-02-12,TVC,24.399999618530277
2026-02-12,TX,45.25
2026-02-12,UFCS,38.720001220703125
2026-02-12,UGP,5.25
2026-02-12,USPH,88.13999938964844
2026-02-12,VIV,15.800000190734863
2026-02-12,VPV,11.050000190734863
2026-02-12,WAB,254.4199981689453
2026-02-12,WMB,71.12000274658203
