signal_date,symbol,entry_close,ret_15d,ret_15d_stop5,stop_hit_15d_stop5,ret_15d_stop6,stop_hit_15d_stop6,ret_15d_stop7,stop_hit_15d_stop7,ret_15d_stop8,stop_hit_15d_stop8,ret_30d,ret_30d_stop5,stop_hit_30d_stop5,ret_30d_stop6,stop_hit_30d_stop6,ret_30d_stop7,stop_hit_30d_stop7,ret_30d_stop8,stop_hit_30d_stop8,ret_60d,ret_60d_stop5,stop_hit_60d_stop5,ret_60d_stop6,stop_hit_60d_stop6,ret_60d_stop7,stop_hit_60d_stop7,ret_60d_stop8,stop_hit_60d_stop8,ret_100d,ret_100d_stop5,stop_hit_100d_stop5,ret_100d_stop6,stop_hit_100d_stop6,ret_100d_stop7,stop_hit_100d_stop7,ret_100d_stop8,stop_hit_100d_stop8,ret_200d,ret_200d_stop5,stop_hit_200d_stop5,ret_200d_stop6,stop_hit_200d_stop6,ret_200d_stop7,stop_hit_200d_stop7,ret_200d_stop8,stop_hit_200d_stop8
2025-07-31,AAMI,41.790000915527344,12.873886421521942,-5.000000000000004,1,-6.000000000000005,1,12.873886421521942,0,12.873886421521942,0,16.223973751524202,-5.000000000000004,1,-6.000000000000005,1,16.223973751524202,0,16.223973751524202,0,15.314662768537236,-5.000000000000004,1.0,-6.000000000000005,1.0,15.314662768537236,0.0,15.314662768537236,0.0,15.195018748520074,-5.000000000000004,1.0,-6.000000000000005,1.0,15.195018748520074,0.0,15.195018748520074,0.0,,,,,,,,,
2025-08-22,AAMI,48.97999954223633,-1.2454075460444747,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-8.105351690090812,-5.000000000000004,1,-6.000000000000005,1,-7.000000000000006,1,-7.9999999999999964,1,-14.393628629949673,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,11.31074105206984,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-7.9999999999999964,1.0,,,,,,,,,
2025-09-11,AAUC,15.550000190734863,18.263660219153756,-5.000000000000004,1,18.263660219153756,0,18.263660219153756,0,18.263660219153756,0,13.63343961128849,-5.000000000000004,1,13.63343961128849,0,13.63343961128849,0,13.63343961128849,0,42.89388450679121,-5.000000000000004,1.0,-6.000000000000016,1.0,42.89388450679121,0.0,42.89388450679121,0.0,102.7652752405237,-5.000000000000004,1.0,-6.000000000000016,1.0,102.7652752405237,0.0,102.7652752405237,0.0,,,,,,,,,
2025-09-19,AAUC,15.800000190734863,12.27847820863268,12.27847820863268,0,12.27847820863268,0,12.27847820863268,0,12.27847820863268,0,-3.670885548762004,-5.000000000000004,1,-3.670885548762004,0,-3.670885548762004,0,-3.670885548762004,0,47.97467644637534,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,47.97467644637534,0.0,98.037978087341,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,98.037978087341,0.0,,,,,,,,,
2025-11-28,AAUC,21.11000061035156,10.279488458327467,10.279488458327467,0,10.279488458327467,0,10.279488458327467,0,10.279488458327467,0,25.817142103341983,25.817142103341983,0,25.817142103341983,0,25.817142103341983,0,25.817142103341983,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-03,AAUC,21.93000030517578,11.536701979432994,11.536701979432994,0,11.536701979432994,0,11.536701979432994,0,11.536701979432994,0,25.946194504679056,25.946194504679056,0,25.946194504679056,0,25.946194504679056,0,25.946194504679056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-11,AAUC,22.61000061035156,4.865097056288814,4.865097056288814,0,4.865097056288814,0,4.865097056288814,0,4.865097056288814,0,40.203449390559555,40.203449390559555,0,40.203449390559555,0,40.203449390559555,0,40.203449390559555,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-01-21,AB,39.790000915527344,-10.329229745626133,-5.000000000000004,1,-5.999999999999995,1,-7.000000000000006,1,-7.999999999999985,1,-3.9959791807077316,-5.000000000000004,1,-5.999999999999995,1,-7.000000000000006,1,-7.999999999999985,1,-7.137471945821517,-5.000000000000004,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.999999999999985,1.0,-0.9550164849756126,-5.000000000000004,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.999999999999985,1.0,-0.4272480013345237,-5.000000000000004,1.0,-5.999999999999995,1.0,-7.000000000000006,1.0,-7.999999999999985,1.0
2025-09-11,ABBV,220.22000122070312,7.419851170337055,7.419851170337055,0,7.419851170337055,0,7.419851170337055,0,7.419851170337055,0,3.6463530718307657,3.6463530718307657,0,3.6463530718307657,0,3.6463530718307657,0,3.6463530718307657,0,2.660975650653419,2.660975650653419,0.0,2.660975650653419,0.0,2.660975650653419,0.0,2.660975650653419,0.0,-1.4122244088241143,-5.000000000000004,1.0,-6.000000000000005,1.0,-7.000000000000006,1.0,-1.4122244088241143,0.0,,,,,,,,,
2025-01-23,ABT,123.22000122070312,6.955033258017673,6.955033258017673,0,6.955033258017673,0,6.955033258017673,0,6.955033258017673,0,11.296865793738121,11.296865793738121,0,11.296865793738121,0,11.296865793738121,0,11.296865793738121,0,5.413080752205546,5.413080752205546,0.0,5.413080752205546,0.0,5.413080752205546,0.0,5.413080752205546,0.0,7.352700429182857,7.352700429182857,0.0,7.352700429182857,0.0,7.352700429182857,0.0,7.352700429182857,0.0,2.5482870950668923,2.5482870950668923,0.0,2.5482870950668923,0.0,2.5482870950668923,0.0,2.5482870950668923,0.0
